"Date","Bottom 90% average annual wages","90-95th average annual wages","95th-99th average annual wages","90th-99th average annual wages","top 5% average annual wages","99th-99.9th average annual wages","Upper 0.1% average annual wages","99th-100th average annual wages"
"2018","$37,574","$122,595","$202,261","$158,002","$309,348","$507,652","$2,808,104","$737,697"
"2017","$37,064","$121,286","$199,826","$156,192","$307,118","$504,312","$2,824,069","$736,287"
"2016","$36,711","$120,689","$198,497","$155,270","$300,765","$498,252","$2,614,124","$709,840"
"2015","$36,546","$120,419","$198,267","$155,018","$305,225","$504,470","$2,790,354","$733,058"
"2014","$35,352","$116,705","$191,641","$150,010","$295,806","$491,641","$2,699,857","$712,463"
"2013","$34,905","$115,326","$188,171","$147,702","$286,434","$479,362","$2,480,562","$679,482"
"2012","$34,773","$114,637","$186,831","$146,723","$291,563","$486,521","$2,726,242","$710,493"
"2011","$34,737","$114,590","$185,180","$145,963","$282,071","$475,684","$2,415,215","$669,637"
"2010","$34,941","$114,157","$183,803","$145,111","$279,152","$466,358","$2,408,236","$660,546"
"2009","$35,169","$113,836","$181,245","$143,795","$268,702","$445,434","$2,176,388","$618,529"
"2008","$35,192","$112,869","$181,610","$143,420","$281,223","$465,602","$2,606,307","$679,672"
"2007","$35,384","$112,780","$183,407","$144,170","$293,332","$487,056","$2,946,791","$733,029"
"2006","$35,094","$111,439","$179,525","$141,700","$282,903","$472,948","$2,707,611","$696,414"
"2005","$34,873","$110,014","$175,466","$139,104","$275,025","$459,998","$2,592,590","$673,257"
"2004","$35,067","$109,999","$173,610","$138,271","$268,887","$447,809","$2,469,682","$649,996"
"2003","$35,077","$109,633","$171,052","$136,930","$259,279","$432,354","$2,230,678","$612,186"
"2002","$35,057","$108,518","$169,094","$135,441","$255,033","$424,945","$2,163,404","$598,791"
"2001","$35,106","$108,535","$172,808","$137,101","$270,126","$449,143","$2,551,696","$659,399"
"2000","$34,960","$106,658","$174,715","$136,905","$279,849","$468,391","$2,788,334","$700,385"
"1999","$34,323","$105,145","$168,647","$133,368","$266,373","$446,758","$2,551,961","$657,278"
"1998","$33,660","$102,067","$163,110","$129,197","$252,431","$426,212","$2,261,218","$609,713"
"1997","$32,448","$98,298","$156,185","$124,026","$239,752","$407,271","$2,074,777","$574,022"
"1996","$31,562","$95,528","$149,982","$119,730","$222,426","$386,956","$1,639,394","$512,200"
"1995","$31,185","$94,352","$146,555","$117,554","$214,643","$373,309","$1,510,159","$486,994"
"1994","$30,929","$93,531","$142,870","$115,459","$207,827","$358,963","$1,445,864","$467,653"
"1993","$30,605","$91,844","$142,414","$114,319","$210,039","$363,851","$1,530,734","$480,540"
"1992","$30,792","$91,676","$140,776","$113,499","$212,366","$372,924","$1,630,947","$498,726"
"1991","$30,335","$89,965","$136,301","$110,558","$196,923","$343,384","$1,303,655","$439,411"
"1990","$30,671","$90,066","$137,553","$111,171","$204,341","$361,165","$1,464,412","$471,490"
"1989","$30,875","$90,977","$139,596","$112,585","$205,124","$360,613","$1,426,836","$467,236"
"1988","$31,009","$90,983","$139,776","$112,669","$208,377","$366,352","$1,530,674","$482,784"
"1987","$30,954","$90,387","$135,770","$110,557","$196,471","$341,798","$1,316,555","$439,274"
"1986","$30,651","$89,495","$132,761","$108,725","$182,119","$307,832","$1,025,039","$379,553"
"1985","$30,038","$87,512","$127,605","$105,331","$172,461","$287,792","$928,762","$351,889"
"1984","$29,771","$86,240","$125,107","$103,514","$169,157","$281,752","$917,782","$345,355"
"1983","$29,216","$84,684","$122,289","$101,397","$162,872","$270,250","$819,771","$325,202"
"1982","$29,144","$83,379","$120,620","$99,930","$159,164","$265,060","$747,880","$313,342"
"1981","$29,537","$83,196","$117,918","$98,628","$153,332","$251,798","$683,695","$294,988"
"1980","$29,669","$83,061","$117,792","$98,497","$153,409","$253,840","$674,196","$295,876"
"1979","$30,330","$84,123","$118,054","$99,204","$151,672","$247,141","$637,180","$286,145"
"1978","$30,396","$85,442","$122,089","$101,730","$156,290","$254,215","$642,988","$293,092"
"1977","$28,807","$80,093","$111,188","$93,913","$145,894","$239,434","$692,251","$284,716"
"1976","$28,453","$78,039","$108,692","$91,662","$140,587","$228,547","$624,748","$268,167"
"1975","$27,880","$75,914","$107,001","$89,731","$139,703","$229,609","$638,599","$270,508"
"1974","$28,464","$76,783","$105,785","$89,673","$137,367","$225,595","$606,563","$263,692"
"1973","$29,268","$79,315","$109,570","$92,762","$138,597","$220,527","$562,281","$254,702"
"1972","$29,097","$79,205","$109,453","$92,649","$136,742","$214,468","$528,774","$245,899"
"1971","$28,230","$75,703","$103,433","$88,028","$127,713","$197,242","$473,143","$224,832"
"1970","$28,129","$73,620","$104,259","$87,237","$129,224","$200,953","$482,286","$229,086"
"1969","$28,256","$73,865","$102,541","$86,610","$127,843","$198,867","$500,720","$229,053"
"1968","$27,778","$71,687","$98,831","$83,751","$124,235","$195,652","$497,636","$225,850"
"1967","$27,198","$70,063","$97,111","$82,085","$121,266","$188,757","$480,025","$217,884"
"1966","$26,895","$68,697","$94,266","$80,061","$118,726","$186,536","$486,859","$216,568"
"1965","$26,428","$66,468","$91,852","$77,750","$113,336","$172,252","$442,464","$199,273"
"1964","$25,998","$65,636","$90,516","$76,694","$111,717","$171,745","$419,503","$196,521"
"1963","$25,360","$64,018","$87,718","$74,551","$107,680","$165,436","$386,367","$187,529"
"1962","$24,819","$62,609","$85,795","$72,914","$105,660","$163,321","$381,311","$185,120"
"1961","$23,947","$60,134","$82,893","$70,249","$103,036","$160,767","$389,209","$183,612"
"1960","$23,836","$59,102","$81,029","$68,847","$101,688","$160,566","$398,139","$184,324"
"1959","$23,248","$57,533","$78,304","$66,765","$98,185","$155,029","$381,831","$177,709"
"1958","$21,900","$54,337","$75,046","$63,541","$94,343","$148,674","$377,264","$171,533"
"1957","$22,393","$55,152","$75,377","$64,141","$95,520","$151,970","$393,153","$176,088"
"1956","$22,693","$54,374","$73,830","$63,021","$95,406","$152,901","$441,024","$181,713"
"1955","$21,745","$51,387","$69,770","$59,557","$90,767","$146,150","$432,225","$174,758"
"1954","$20,708","$48,573","$67,271","$56,883","$87,777","$145,390","$389,497","$169,801"
"1953","$20,707","$48,382","$65,475","$55,979","$85,023","$137,487","$394,748","$163,213"
"1952","$19,423","$46,015","$62,541","$53,360","$82,750","$134,728","$423,318","$163,587"
"1951","$18,496","$44,324","$60,556","$51,538","$80,680","$130,753","$434,996","$161,177"
"1950","$17,581","$41,789","$58,731","$49,319","$78,425","$125,662","$441,031","$157,199"
"1949","$16,929","$41,144","$58,235","$48,740","$76,085","$124,019","$358,693","$147,486"
"1948","$16,492","$39,479","$55,292","$46,507","$73,628","$120,253","$387,406","$146,968"
"1947","$16,101","$39,199","$55,646","$46,509","$73,845","$123,546","$354,523","$146,643"
